comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2006/01/01 00:00,9829,0,0.427352,0.345477
2006/01/01 01:00,9447,0,0.418199,0.347513
2006/01/01 02:00,9062,0,0.384779,0.352178
2006/01/01 03:00,8589,0,0.3431,0.348411
2006/01/01 04:00,8247,0,0.351721,0.338059
2006/01/01 05:00,8045,0,0.394392,0.347209
2006/01/01 06:00,7941,0,0.395347,0.353714
2006/01/01 07:00,7554,0,0.418188,0.359136
2006/01/01 08:00,7525,0,0.365275,0.381911
2006/01/01 09:00,7649,0.01,0.262707,0.368331
2006/01/01 10:00,7983,0.045,0.147621,0.307983
2006/01/01 11:00,8334,0.088,0.076589,0.258041
2006/01/01 12:00,8621,0.121,0.037107,0.202211
2006/01/01 13:00,8597,0.116,0.023648,0.13982
2006/01/01 14:00,8410,0.079,0.014017,0.086215
2006/01/01 15:00,8337,0.032,0.028321,0.062615
2006/01/01 16:00,8405,0.001,0.055764,0.053615
2006/01/01 17:00,8992,0,0.080838,0.061234
2006/01/01 18:00,9227,0,0.105012,0.09323
2006/01/01 19:00,9225,0,0.116739,0.144207
2006/01/01 20:00,9084,0,0.114671,0.190922
2006/01/01 21:00,9036,0,0.109386,0.222892
2006/01/01 22:00,9704,0,0.096025,0.231829
2006/01/01 23:00,9840,0,0.075701,0.219335
2006/01/02 00:00,9250,0,0.056362,0.189029
2006/01/02 01:00,8802,0,0.050646,0.155711
2006/01/02 02:00,8401,0,0.057958,0.135744
2006/01/02 03:00,8167,0,0.068789,0.125419
2006/01/02 04:00,8097,0,0.071412,0.113727
2006/01/02 05:00,8259,0,0.060101,0.097939
2006/01/02 06:00,8775,0,0.042515,0.077313
2006/01/02 07:00,8936,0,0.023613,0.051166
2006/01/02 08:00,9402,0,0.012844,0.029006
2006/01/02 09:00,9835,0.032,0.009165,0.016712
2006/01/02 10:00,10165,0.097,0.010284,0.015339
2006/01/02 11:00,10524,0.139,0.017545,0.021982
2006/01/02 12:00,10654,0.145,0.029602,0.029798
2006/01/02 13:00,10561,0.125,0.043317,0.036955
2006/01/02 14:00,10425,0.074,0.057849,0.044368
2006/01/02 15:00,10412,0.029,0.068677,0.058446
2006/01/02 16:00,10642,0.001,0.067474,0.069409
2006/01/02 17:00,11429,0,0.058408,0.068176
2006/01/02 18:00,11521,0,0.044971,0.059
