comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2010/01/01 00:00,24088.0,0.0,0.986005,0.714484
2010/01/01 01:00,22843.0,0.0,0.985791,0.714618
2010/01/01 02:00,21297.0,0.0,0.98595,0.712804
2010/01/01 03:00,19972.0,0.0,0.986164,0.706958
2010/01/01 04:00,19002.0,0.0,0.986568,0.698843
2010/01/01 05:00,18648.0,0.0,0.987009,0.691237
2010/01/01 06:00,18648.0,0.0,0.986209,0.679116
2010/01/01 07:00,18962.0,0.0,0.977073,0.670399
2010/01/01 08:00,18709.0,0.004,0.950291,0.665781
2010/01/01 09:00,18647.0,0.067,0.902155,0.654371
2010/01/01 10:00,19797.0,0.152,0.829073,0.640557
2010/01/01 11:00,21227.0,0.231,0.711164,0.661221
2010/01/01 12:00,22046.0,0.298,0.592336,0.68018
2010/01/01 13:00,23149.0,0.329,0.543686,0.679262
2010/01/01 14:00,23161.0,0.31,0.497305,0.662874
2010/01/01 15:00,21892.0,0.25,0.45705,0.630759
2010/01/01 16:00,21591.0,0.14,0.502645,0.569309
2010/01/01 17:00,22436.0,0.023,0.480473,0.514628
2010/01/01 18:00,25632.0,0.0,0.383118,0.495866
2010/01/01 19:00,26933.0,0.0,0.313572,0.474258
2010/01/01 20:00,27744.0,0.0,0.33701,0.457787
2010/01/01 21:00,28287.0,0.0,0.437983,0.440321
2010/01/01 22:00,28415.0,0.0,0.549859,0.408464
2010/01/01 23:00,26585.0,0.0,0.666959,0.383863
2010/01/02 00:00,24114.0,0.0,0.781264,0.362559
2010/01/02 01:00,21635.0,0.0,0.875623,0.344623
2010/01/02 02:00,19747.0,0.0,0.936473,0.327832
2010/01/02 03:00,18754.0,0.0,0.956014,0.32249
2010/01/02 04:00,18446.0,0.0,0.930423,0.315195
2010/01/02 05:00,18733.0,0.0,0.848096,0.305614
2010/01/02 06:00,19945.0,0.0,0.7083,0.302713
2010/01/02 07:00,21403.0,0.0,0.413246,0.299972
2010/01/02 08:00,22904.0,0.004,0.175442,0.297712
2010/01/02 09:00,24728.0,0.07,0.083758,0.268721
2010/01/02 10:00,27421.0,0.168,0.046213,0.252068
2010/01/02 11:00,28187.0,0.242,0.055247,0.25802
2010/01/02 12:00,27911.0,0.274,0.066389,0.235798
2010/01/02 13:00,28225.0,0.271,0.124064,0.20824
