comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2010/01/01 00:00,25712.0,0.0,0.379277,0.518627
2010/01/01 01:00,24818.0,0.0,0.373313,0.536694
2010/01/01 02:00,23361.0,0.0,0.3899,0.570147
2010/01/01 03:00,22179.0,0.0,0.405323,0.596547
2010/01/01 04:00,21444.0,0.0,0.488207,0.614467
2010/01/01 05:00,21376.0,0.0,0.62666,0.623586
2010/01/01 06:00,21937.0,0.0,0.70572,0.641479
2010/01/01 07:00,22321.0,0.005,0.70821,0.670591
2010/01/01 08:00,22396.0,0.053,0.637897,0.675724
2010/01/01 09:00,23855.0,0.127,0.59591,0.720313
2010/01/01 10:00,25562.0,0.188,0.814647,0.835712
2010/01/01 11:00,27134.0,0.229,0.924087,0.874986
2010/01/01 12:00,27487.0,0.241,0.927147,0.874531
2010/01/01 13:00,26108.0,0.219,0.889897,0.868231
2010/01/01 14:00,25274.0,0.165,0.89208,0.851991
2010/01/01 15:00,25406.0,0.082,0.915913,0.834731
2010/01/01 16:00,26770.0,0.008,0.902693,0.830128
2010/01/01 17:00,30377.0,0.0,0.909757,0.82553
2010/01/01 18:00,31300.0,0.0,0.915063,0.821807
2010/01/01 19:00,31515.0,0.0,0.910667,0.816524
2010/01/01 20:00,31189.0,0.0,0.896803,0.808721
2010/01/01 21:00,30088.0,0.0,0.878493,0.796086
2010/01/01 22:00,28238.0,0.0,0.84816,0.769725
2010/01/01 23:00,26316.0,0.0,0.832057,0.742254
2010/01/02 00:00,23844.0,0.0,0.821413,0.708616
2010/01/02 01:00,22157.0,0.0,0.802983,0.672255
2010/01/02 02:00,21192.0,0.0,0.7798,0.645483
2010/01/02 03:00,20792.0,0.0,0.763457,0.634876
2010/01/02 04:00,20786.0,0.0,0.766607,0.63075
2010/01/02 05:00,21432.0,0.0,0.810263,0.607027
2010/01/02 06:00,23265.0,0.0,0.815507,0.587653
2010/01/02 07:00,25248.0,0.003,0.727683,0.575393
2010/01/02 08:00,27028.0,0.089,0.609313,0.545867
2010/01/02 09:00,29506.0,0.237,0.594407,0.570955
2010/01/02 10:00,30311.0,0.356,0.649063,0.640259
2010/01/02 11:00,30362.0,0.423,0.676347,0.685881
2010/01/02 12:00,30154.0,0.438,0.727683,0.726265
2010/01/02 13:00,29012.0,0.403,0.808473,0.750631
