comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2006/01/01 00:00,10541,0,0.3539,0.2523
2006/01/01 01:00,10298,0,0.3397,0.2393
2006/01/01 02:00,9762,0,0.2884,0.215
2006/01/01 03:00,9115,0,0.2613,0.2117
2006/01/01 04:00,8797,0,0.2437,0.2068
2006/01/01 05:00,8728,0,0.2371,0.2087
2006/01/01 06:00,8798,0,0.2548,0.2208
2006/01/01 07:00,9040,0,0.2653,0.2228
2006/01/01 08:00,9464,0.007,0.2637,0.2112
2006/01/01 09:00,9907,0.038,0.2284,0.1776
2006/01/01 10:00,10647,0.076,0.1687,0.1325
2006/01/01 11:00,11212,0.112,0.1141,0.092
2006/01/01 12:00,11575,0.128,0.0627,0.0538
2006/01/01 13:00,11684,0.097,0.0243,0.0284
2006/01/01 14:00,11666,0.039,0.0069,0.019
2006/01/01 15:00,11560,0,0.0029,0.0186
2006/01/01 16:00,11922,0,0.0029,0.0246
2006/01/01 17:00,13097,0,0.0024,0.0349
2006/01/01 18:00,13554,0,0.0026,0.0453
2006/01/01 19:00,13512,0,0.0055,0.0543
2006/01/01 20:00,13125,0,0.0104,0.0612
2006/01/01 21:00,12518,0,0.0138,0.0632
2006/01/01 22:00,11830,0,0.0156,0.0571
2006/01/01 23:00,10817,0,0.02,0.0495
2006/01/02 00:00,9896,0,0.0354,0.0507
2006/01/02 01:00,9305,0,0.0567,0.0614
2006/01/02 02:00,9038,0,0.0757,0.076
2006/01/02 03:00,8854,0,0.0891,0.0857
2006/01/02 04:00,8896,0,0.093,0.0838
2006/01/02 05:00,9352,0,0.1028,0.0759
2006/01/02 06:00,10602,0,0.112,0.07
2006/01/02 07:00,12508,0,0.1129,0.0677
2006/01/02 08:00,14392,0.013,0.1042,0.0668
2006/01/02 09:00,15287,0.053,0.0893,0.0615
2006/01/02 10:00,15833,0.089,0.073,0.0524
2006/01/02 11:00,16190,0.107,0.0648,0.0478
2006/01/02 12:00,16198,0.102,0.0607,0.0477
2006/01/02 13:00,16153,0.072,0.06,0.0487
2006/01/02 14:00,15958,0.029,0.0651,0.0556
2006/01/02 15:00,15688,0,0.0597,0.0537
2006/01/02 16:00,15781,0,0.0433,0.0419
2006/01/02 17:00,16822,0,0.0285,0.0297
2006/01/02 18:00,16435,0,0.0185,0.0204
